Estacao;Data;Hora;Precipitacao;Temp Comp Media;
83914;19/12/2017;1200;0;;
83914;20/12/2017;0000;;21.88;
83914;20/12/2017;1200;0;;
83914;21/12/2017;0000;;23.86;
83914;21/12/2017;1200;6.2;;
83914;22/12/2017;0000;;25.14;
83914;22/12/2017;1200;0;;
83914;23/12/2017;0000;;22.86;
83914;23/12/2017;1200;0.1;;
83914;24/12/2017;0000;;18.72;
83914;24/12/2017;1200;38.2;;
83914;25/12/2017;0000;;19.96;
83914;25/12/2017;1200;3.5;;
83914;26/12/2017;0000;;21.06;
83914;26/12/2017;1200;0;;
83914;27/12/2017;0000;;23.12;
83914;27/12/2017;1200;2;;
83914;28/12/2017;0000;;24.1;
83914;28/12/2017;1200;4.4;;
83914;29/12/2017;0000;;20.94;
83914;29/12/2017;1200;1.4;;
83914;30/12/2017;0000;;20.86;
83914;30/12/2017;1200;1.4;;
83914;31/12/2017;0000;;23.82;
83914;31/12/2017;1200;0;;
